"filename", "language", "JSON", "JavaScript", "Diff", "JSON with Comments", "Markdown", "Python", "JavaScript React", "HTML", "CSS", "PHP", "C++", "C", "Java", "comment", "blank", "total"
"d:\Coding\cn404\cn404_code\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Coding\cn404\cn404_code\patches\passport+0.6.0.patch", "Diff", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Coding\cn404\cn404_code\test\TestJava.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Coding\cn404\cn404_code\test\js_answer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"d:\Coding\cn404\cn404_code\test\test_c.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Coding\cn404\cn404_code\test\test_cpp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Coding\cn404\cn404_code\test\test_js.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 85
"d:\Coding\cn404\cn404_code\test\test_php.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Coding\cn404\cn404_code\test\test_py.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"Total", "-", 39289, 2712, 21, 6, 79, 15, 3137, 26, 588, 22, 12, 10, 5, 423, 971, 47316
